Series_Title,Released_Year,Certificate,Meta_score,Gross
Hamilton,2020,PG-13,88,N/A
Soorarai Pottru,2020,TV-MA,N/A,N/A
Seppuku,2016,N/A,N/A,N/A
It's a Wonderful Life,1946,PG,89,"$1,483,643"
Ayla: The Daughter of War,2017,N/A,N/A,N/A
Vikram Vedha,2017,Not Rated,N/A,N/A
Dangal,2016,Not Rated,N/A,"$12,391,761"
Taare Zameen Par,2020–,N/A,N/A,
Once Upon a Time in America,1984,R,75,"$5,321,508"
Anand,1971,Not Rated,N/A,N/A
Tengoku to jigoku,2007,N/A,N/A,N/A
Witness for the Prosecution,1957,Approved,76,N/A
Paths of Glory,1957,Approved,90,N/A
Sunset Blvd.,2012,N/A,N/A,N/A
The Great Dictator,1940,G,N/A,N/A
Tumbbad,2018,Not Rated,N/A,N/A
Andhadhun,2018,Not Rated,N/A,"$1,193,046"
Drishyam,2015,Not Rated,N/A,N/A
Miracle in Cell No. 7,2019,TV-14,N/A,N/A
Ikiru,1952,Not Rated,92,"$60,239"
Metropolis,1927,Not Rated,98,"$1,236,166"
The Kid,1921,Passed,N/A,N/A
Chhichhore,2019,Not Rated,N/A,"$2,004,400"
Uri: The Surgical Strike,2019,Not Rated,N/A,"$4,186,168"
K.G.F: Chapter 1,2018,Not Rated,N/A,N/A
Talvar,2015,Not Rated,N/A,"$342,370"
Baahubali 2: The Conclusion,2017,Not Rated,N/A,"$20,186,659"
Klaus,2019,PG,65,N/A
Drishyam,2015,Not Rated,N/A,N/A
Queen,2013,Not Rated,N/A,N/A
Bhaag Milkha Bhaag,2013,Not Rated,N/A,"$1,636,731"
Gangs of Wasseypur,2012,Not Rated,89,N/A
Udaan,2010,Not Rated,N/A,"$7,461"
Paan Singh Tomar,2012,Not Rated,N/A,"$40,311"
Rang De Basanti,2006,Not Rated,N/A,"$2,197,694"
Black,2005,Not Rated,N/A,"$754,819"
Hera Pheri,2000,Not Rated,N/A,N/A
Eskiya,1966,N/A,N/A,N/A
Andaz Apna Apna,1994,Not Rated,N/A,N/A
Dom za vesanje,1990,N/A,N/A,
Stalker,1979,Not Rated,85,"$292,049"
The Message,1976,PG,N/A,N/A
Sholay,1975,Not Rated,N/A,N/A
To Kill a Mockingbird,1962,Approved,88,"$592,237"
Yôjinbô,1929,N/A,N/A,N/A
Judgment at Nuremberg,1961,Approved,60,N/A
Bakomfilm Smultronstället,1957,N/A,N/A,N/A
The Seventh Seal (Det sjunde inseglet) (1957),1957,N/A,N/A,N/A
Tôkyô monogatari,2002,N/A,N/A,N/A
Rashômon,1941,N/A,N/A,N/A
To Be or Not to Be,1942,Approved,86,"$3,270,000"
The Gold Rush,1925,Approved,90,N/A
Sherlock Jr.,1924,Passed,N/A,"$977,375"
Pink,2016,Not Rated,N/A,N/A
Contratiempo,2011,N/A,N/A,N/A
Haider,2014,Not Rated,N/A,"$1,048,143"
Soul,2020,PG,83,"$946,154"
PK,2014,Not Rated,N/A,"$10,616,104"
OMG: Oh My God!,2012,Not Rated,N/A,N/A
Barfi!,2012,Not Rated,N/A,"$2,804,874"
Kahaani,2012,Not Rated,N/A,N/A
Zindagi Na Milegi Dobara,2011,Not Rated,N/A,"$3,108,485"
A Wednesday,2008,Not Rated,N/A,N/A
Hachi: A Dog's Tale,2009,G,N/A,N/A
Mary and Max,2009,Not Rated,72,N/A
Lage Raho Munna Bhai,2006,Not Rated,N/A,"$2,217,562"
Munna Bhai M.B.B.S.,2003,Not Rated,N/A,"$48,772"
Dil Chahta Hai,2001,Not Rated,N/A,N/A
Underground,1995,Not Rated,79,"$171,082"
La haine,1995,Not Rated,N/A,"$280,859"
Dilwale Dulhania Le Jayenge,1995,Not Rated,N/A,N/A
Fitzcarraldo,1982,PG,N/A,N/A
The Elephant Man,1980,PG,78,"$26,010,864"
Network,1976,R,83,"$23,689,877"
Barry Lyndon,1975,PG,89,N/A
Chyornoe zerkalo po-russki,2019,N/A,N/A,N/A
Solaris,1972,PG,93,"$22,168"
Le Samouraï,1967,GP,90,"$216,696"
Persona,1966,Not Rated,86,N/A
Andrei Rublev,1966,R,N/A,"$124,189"
Sanjuro,1962,Not Rated,83,"$46,808"
The Man Who Shot Liberty Valance,1962,Approved,94,N/A
Inherit the Wind,1960,Approved,75,N/A
Kakushi toride no san akunin,2008,N/A,N/A,N/A
White Heat,1949,Approved,89,N/A
