Released_Year,Certificate,Runtime,Meta_score,No_of_Votes,Gross,Crime,Action,Biography,Drama,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Family,Romance,Sci-Fi,War,Music,Thriller,Musical,Fantasy,Sport,History,top10_dir_metascore,top10_dir_no_of_votes,top10_dir_filmes,top25_dir_metascore,top25_dir_no_of_votes,top25_dir_filmes,top50_dir_metascore,top50_dir_no_of_votes,top50_dir_filmes,top10_atores_metascore,top10_atores_votes,top10_atores_filmes,top25_atores_metascore,top25_atores_votes,top25_atores_filmes,top50_atores_metascore,top50_atores_votes,top50_atores_filmes,IMDB_Rating
1946,U,102,100.0,92306,10464000.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,0,0,2,0,0,7.9
2006,A,109,84.0,465113,35552383.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,7.9
2007,R,122,78.0,61609,871577.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
1995,A,127,65.0,1445096,100125643.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,8.6
2004,U,88,72.0,50610,238507.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
1991,U,118,90.0,27071,453243.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6
2002,UA,101,75.0,117857,169659.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
1958,PG-13,95,99.0,98431,2237659.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,8.0
2001,A,110,76.0,266842,52364010.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.6
2010,U,103,92.0,757032,415004880.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,8.2
1987,UA,116,76.0,675146,46357676.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8.3
2018,UA,149,68.0,834477,678815482.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,8.4
1999,R,146,74.0,91557,50668906.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,7.6
1992,U,202,73.0,85819,48169908.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7.7
2001,R,95,85.0,31957,3029081.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
1979,PG,130,83.0,65625,30177511.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
2003,R,178,60.0,137963,1530386.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0
2006,U,117,64.0,448930,163566459.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
